winner,wyId,label,team1_id,team1_name,team2_id,team2_name,team1_goals,team2_goals,avgHome,avgAway,UnderdogMatch,HomeUnderdog,AwayUnderdog
1609,2500091,"Huddersfield Town - Arsenal, 0 - 1",1673,Huddersfield Town,1609,Arsenal,0,1,5.59,1.5914285714285714,1,1,0
1612,2500092,"Liverpool - Brighton & Hove Albion, 4 - 0",1612,Liverpool,1651,Brighton & Hove Albion,4,0,1.18,16.277142857142856,1,0,1
1611,2500093,"Manchester United - Watford, 1 - 0",1611,Manchester United,1644,Watford,1,0,1.3514285714285714,8.782857142857143,1,0,1
1613,2500094,"Newcastle United - Chelsea, 3 - 0",1613,Newcastle United,1610,Chelsea,3,0,5.922857142857143,1.6014285714285714,1,1,0
1625,2500095,"Southampton - Manchester City, 0 - 1",1619,Southampton,1625,Manchester City,0,1,7.787142857142857,1.417142857142857,1,1,0
1624,2500097,"Tottenham Hotspur - Leicester City, 5 - 4",1624,Tottenham Hotspur,1631,Leicester City,5,4,1.312857142857143,9.33,1,0,1
1625,2500024,"Manchester City - Brighton & Hove Albion, 3 - 1",1625,Manchester City,1651,Brighton & Hove Albion,3,1,1.1242857142857143,22.544285714285714,1,0,1
1624,2500027,"Tottenham Hotspur - Newcastle United, 1 - 0",1624,Tottenham Hotspur,1613,Newcastle United,1,0,1.1785714285714286,16.285714285714285,1,0,1
0,2500062,"Chelsea - Huddersfield Town, 1 - 1",1610,Chelsea,1673,Huddersfield Town,1,1,1.1785714285714286,17.81,1,0,1
1609,2500080,"Arsenal - Burnley, 5 - 0",1609,Arsenal,1646,Burnley,5,0,1.5457142857142858,6.4314285714285715,1,0,1
0,2500085,"Manchester City - Huddersfield Town, 0 - 0",1625,Manchester City,1673,Huddersfield Town,0,0,1.0871428571428572,27.142857142857142,1,0,1
1627,2500088,"West Bromwich Albion - Tottenham Hotspur, 1 - 0",1627,West Bromwich Albion,1624,Tottenham Hotspur,1,0,7.972857142857142,1.4185714285714286,1,1,0
1624,2500077,"Tottenham Hotspur - Watford, 2 - 0",1624,Tottenham Hotspur,1644,Watford,2,0,1.1585714285714286,19.428571428571427,1,0,1
1611,2500073,"Manchester United - Arsenal, 2 - 1",1611,Manchester United,1609,Arsenal,2,1,1.4385714285714286,7.734285714285714,1,0,1
1625,2500078,"West Ham United - Manchester City, 1 - 4",1633,West Ham United,1625,Manchester City,1,4,9.897142857142857,1.3342857142857143,1,1,0
1610,2500076,"Swansea City - Chelsea, 0 - 1",10531,Swansea City,1610,Chelsea,0,1,7.027142857142858,1.5171428571428571,1,1,0
1619,2500075,"Southampton - AFC Bournemouth, 2 - 1",1619,Southampton,1659,AFC Bournemouth,2,1,1.7114285714285713,5.014285714285714,1,0,1
0,2500072,"Liverpool - Stoke City, 0 - 0",1612,Liverpool,1639,Stoke City,0,0,1.3114285714285714,9.871428571428572,1,0,1
1625,2500065,"Manchester City - Swansea City, 5 - 0",1625,Manchester City,10531,Swansea City,5,0,1.1428571428571428,21.114285714285714,1,0,1
1609,2500060,"Arsenal - West Ham United, 4 - 1",1609,Arsenal,1633,West Ham United,4,1,1.5471428571428572,5.904285714285714,1,0,1
0,2500068,"West Bromwich Albion - Liverpool, 2 - 2",1627,West Bromwich Albion,1612,Liverpool,2,2,6.9314285714285715,1.512857142857143,1,1,0
1611,2500059,"AFC Bournemouth - Manchester United, 0 - 2",1659,AFC Bournemouth,1611,Manchester United,0,2,4.934285714285714,1.7314285714285713,1,1,0
0,2500061,"Brighton & Hove Albion - Tottenham Hotspur, 1 - 1",1651,Brighton & Hove Albion,1624,Tottenham Hotspur,1,1,6.322857142857143,1.5471428571428572,1,1,0
1627,2500053,"Manchester United - West Bromwich Albion, 0 - 1",1611,Manchester United,1627,West Bromwich Albion,0,1,1.1885714285714286,17.62142857142857,1,0,1
1612,2500052,"Liverpool - AFC Bournemouth, 3 - 0",1612,Liverpool,1659,AFC Bournemouth,3,0,1.2457142857142858,12.34142857142857,1,0,1
0,2500042,"Chelsea - West Ham United, 1 - 1",1610,Chelsea,1633,West Ham United,1,1,1.2814285714285714,11.487142857142857,1,0,1
1609,2500040,"Arsenal - Southampton, 3 - 2",1609,Arsenal,1619,Southampton,3,2,1.5514285714285714,6.091428571428572,1,0,1
1624,2500046,"Stoke City - Tottenham Hotspur, 1 - 2",1639,Stoke City,1624,Tottenham Hotspur,1,2,10.152857142857142,1.33,1,1,0
1609,2500029,"Arsenal - Stoke City, 3 - 0",1609,Arsenal,1639,Stoke City,3,0,1.3057142857142858,9.888571428571428,1,0,1
1625,2500033,"Everton - Manchester City, 1 - 3",1623,Everton,1625,Manchester City,1,3,9.4,1.332857142857143,1,1,0
1611,2500034,"Manchester United - Swansea City, 2 - 0",1611,Manchester United,10531,Swansea City,2,0,1.2328571428571429,13.222857142857142,1,0,1
1613,2500035,"Newcastle United - Huddersfield Town, 1 - 0",1613,Newcastle United,1673,Huddersfield Town,1,0,1.7585714285714287,5.142857142857143,1,0,1
