winner,wyId,label,team1_id,team1_name,team2_id,team2_name,team1_goals,team2_goals,avgHome,avgAway,UnderdogMatch,HomeUnderdog,AwayUnderdog
0,2501056,"Caen - PSG, 0 - 0",3783,Caen,3767,PSG,0,0,4.8585714285714285,1.727142857142857,1,1,0
3766,2501058,"Olympique Lyonnais - Nice, 3 - 2",3766,Olympique Lyonnais,3775,Nice,3,2,1.4442857142857142,6.498571428571428,1,0,1
3771,2501059,"Olympique Marseille - Amiens SC, 2 - 1",3771,Olympique Marseille,3789,Amiens SC,2,1,1.2557142857142858,11.571428571428571,1,0,1
3772,2501060,"Metz - Bordeaux, 0 - 4",3777,Metz,3772,Bordeaux,0,4,7.015714285714286,1.467142857142857,1,1,0
3782,2501063,"Saint-\u00c9tienne - Lille, 5 - 0",3782,Saint-\u00c9tienne,3776,Lille,5,0,1.5385714285714287,6.167142857142857,1,0,1
3780,2501064,"Toulouse - Guingamp, 2 - 1",3780,Toulouse,3785,Guingamp,2,1,1.5514285714285714,5.962857142857143,1,0,1
19830,2501065,"Troyes - Monaco, 0 - 3",3795,Troyes,19830,Monaco,0,3,5.658571428571428,1.5642857142857143,1,1,0
3776,2501050,"Lille - Dijon, 2 - 1",3776,Lille,3804,Dijon,2,1,1.51,6.71,1,0,1
19830,2501051,"Monaco - Saint-\u00c9tienne, 1 - 0",19830,Monaco,3782,Saint-\u00c9tienne,1,0,1.6485714285714286,5.062857142857143,1,0,1
0,2501052,"Montpellier - Troyes, 1 - 1",3787,Montpellier,3795,Troyes,1,1,1.752857142857143,4.757142857142857,1,0,1
3775,2501053,"Nice - Caen, 4 - 1",3775,Nice,3783,Caen,4,1,1.6357142857142857,5.618571428571428,1,0,1
3774,2501054,"PSG - Rennes, 0 - 2",3767,PSG,3774,Rennes,0,2,1.2657142857142858,10.161428571428571,1,0,1
3779,2501055,"Strasbourg - Olympique Lyonnais, 3 - 2",3779,Strasbourg,3766,Olympique Lyonnais,3,2,6.171428571428572,1.4942857142857142,1,1,0
0,2501049,"Guingamp - Olympique Marseille, 3 - 3",3785,Guingamp,3771,Olympique Marseille,3,3,4.9157142857142855,1.6571428571428573,1,1,0
3771,2501040,"Olympique Marseille - Nice, 2 - 1",3771,Olympique Marseille,3775,Nice,2,1,1.69,4.96,1,0,1
3774,2501043,"Rennes - Strasbourg, 2 - 1",3774,Rennes,3779,Strasbourg,2,1,1.7328571428571429,4.941428571428571,1,0,1
3766,2501039,"Olympique Lyonnais - Troyes, 3 - 0",3766,Olympique Lyonnais,3795,Troyes,3,0,1.1357142857142857,17.914285714285715,1,0,1
0,2501036,"Amiens SC - PSG, 2 - 2",3789,Amiens SC,3767,PSG,2,2,9.272857142857143,1.3042857142857143,1,1,0
3772,2501027,"Bordeaux - Dijon, 3 - 1",3772,Bordeaux,3804,Dijon,3,1,1.5242857142857142,6.682857142857142,1,0,1
0,2501030,"Monaco - Amiens SC, 0 - 0",19830,Monaco,3789,Amiens SC,0,0,1.1942857142857142,15.778571428571428,1,0,1
3766,2501029,"Olympique Lyonnais - Nantes, 2 - 0",3766,Olympique Lyonnais,3770,Nantes,2,0,1.2871428571428571,10.43,1,0,1
3767,2501017,"Bordeaux - PSG, 0 - 1",3772,Bordeaux,3767,PSG,0,1,6.56,1.4857142857142858,1,1,0
3782,2501024,"Saint-\u00c9tienne - Troyes, 2 - 1",3782,Saint-\u00c9tienne,3795,Troyes,2,1,1.5014285714285713,7.078571428571428,1,0,1
3771,2501020,"Olympique Marseille - Lille, 5 - 1",3771,Olympique Marseille,3776,Lille,5,1,1.33,9.635714285714286,1,0,1
3766,2501018,"Dijon - Olympique Lyonnais, 2 - 5",3804,Dijon,3766,Olympique Lyonnais,2,5,7.2785714285714285,1.427142857142857,1,1,0
3767,2501012,"PSG - Monaco, 7 - 1",3767,PSG,19830,Monaco,7,1,1.3,9.655714285714286,1,0,1
3771,2501015,"Troyes - Olympique Marseille, 2 - 3",3795,Troyes,3771,Olympique Marseille,2,3,5.632857142857143,1.6257142857142857,1,1,0
0,2501011,"Nantes - Dijon, 1 - 1",3770,Nantes,3804,Dijon,1,1,1.7228571428571429,5.042857142857143,1,0,1
3777,2501013,"Rennes - Metz, 1 - 2",3774,Rennes,3777,Metz,1,2,1.447142857142857,7.304285714285714,1,0,1
3766,2501009,"Olympique Lyonnais - Amiens SC, 3 - 0",3766,Olympique Lyonnais,3789,Amiens SC,3,0,1.2242857142857142,13.765714285714285,1,0,1
0,2501000,"Olympique Marseille - Montpellier, 0 - 0",3771,Olympique Marseille,3787,Montpellier,0,0,1.61,5.714285714285714,1,0,1
3766,2501001,"Metz - Olympique Lyonnais, 0 - 5",3777,Metz,3766,Olympique Lyonnais,0,5,6.508571428571429,1.4985714285714287,1,1,0
3772,2500998,"Bordeaux - Lille, 2 - 1",3772,Bordeaux,3776,Lille,2,1,1.6942857142857142,5.542857142857143,1,0,1
19830,2501002,"Monaco - Nantes, 2 - 1",19830,Monaco,3770,Nantes,2,1,1.5171428571428571,6.62,1,0,1
0,2501004,"Saint-\u00c9tienne - PSG, 1 - 1",3782,Saint-\u00c9tienne,3767,PSG,1,1,8.847142857142858,1.332857142857143,1,1,0
3766,2500990,"Olympique Lyonnais - Toulouse, 2 - 0",3766,Olympique Lyonnais,3780,Toulouse,2,0,1.3714285714285714,8.275714285714285,1,0,1
