winner,wyId,label,team1_id,team1_name,team2_id,team2_name,team1_goals,team2_goals,avgHome,avgAway,UnderdogMatch,HomeUnderdog,AwayUnderdog
2445,2517036,"Bayern M\u00fcnchen - Stuttgart, 1 - 4",2444,Bayern M\u00fcnchen,2445,Stuttgart,1,4,1.1842857142857142,13.704285714285714,1,0,1
2446,2517041,"Bayer Leverkusen - Hannover 96, 3 - 2",2446,Bayer Leverkusen,2455,Hannover 96,3,2,1.2114285714285713,12.414285714285715,1,0,1
2451,2517044,"Wolfsburg - K\u00f6ln, 4 - 1",2451,Wolfsburg,2463,K\u00f6ln,4,1,1.6528571428571428,5.098571428571429,1,0,1
2460,2517027,"Borussia Dortmund - Mainz 05, 1 - 2",2447,Borussia Dortmund,2460,Mainz 05,1,2,1.32,9.335714285714285,1,0,1
2975,2517028,"RB Leipzig - Wolfsburg, 4 - 1",2975,RB Leipzig,2451,Wolfsburg,4,1,1.6371428571428572,5.182857142857143,1,0,1
2444,2517029,"K\u00f6ln - Bayern M\u00fcnchen, 1 - 3",2463,K\u00f6ln,2444,Bayern M\u00fcnchen,1,3,9.925714285714285,1.2771428571428571,1,1,0
2445,2517024,"Bayer Leverkusen - Stuttgart, 0 - 1",2446,Bayer Leverkusen,2445,Stuttgart,0,1,1.4242857142857142,7.581428571428572,1,0,1
2444,2517018,"Bayern M\u00fcnchen - Eintracht Frankfurt, 4 - 1",2444,Bayern M\u00fcnchen,2462,Eintracht Frankfurt,4,1,1.6385714285714286,5.112857142857143,1,0,1
2482,2517019,"Hoffenheim - Hannover 96, 3 - 1",2482,Hoffenheim,2455,Hannover 96,3,1,1.292857142857143,9.487142857142857,1,0,1
2444,2517016,"Hannover 96 - Bayern M\u00fcnchen, 0 - 3",2455,Hannover 96,2444,Bayern M\u00fcnchen,0,3,5.985714285714286,1.5071428571428571,1,1,0
2444,2517000,"Bayern M\u00fcnchen - Borussia M'gladbach, 5 - 1",2444,Bayern M\u00fcnchen,2454,Borussia M'gladbach,5,1,1.3485714285714285,8.044285714285714,1,0,1
2482,2517001,"Hoffenheim - Hamburger SV, 2 - 0",2482,Hoffenheim,2450,Hamburger SV,2,0,1.5042857142857142,6.384285714285714,1,0,1
