winner,wyId,label,team1_id,team1_name,team2_id,team2_name,team1_goals,team2_goals,avgHome,avgAway,UnderdogMatch,HomeUnderdog,AwayUnderdog
3165,2576330,"Chievo - Benevento, 1 - 0",3165,Chievo,3219,Benevento,1,0,1.4928571428571429,6.414285714285715,1,0,1
3163,2576331,"Udinese - Bologna, 1 - 0",3163,Udinese,3166,Bologna,1,0,1.4828571428571429,6.812857142857143,1,0,1
3187,2576332,"Napoli - Crotone, 2 - 1",3187,Napoli,3197,Crotone,2,1,1.5085714285714287,5.79,1,0,1
3204,2576337,"SPAL - Sampdoria, 3 - 1",3204,SPAL,3164,Sampdoria,3,1,1.602857142857143,5.5128571428571425,1,0,1
3187,2576325,"Sampdoria - Napoli, 0 - 2",3164,Sampdoria,3187,Napoli,0,2,4.967142857142857,1.6314285714285715,1,1,0
3173,2576319,"Fiorentina - Cagliari, 0 - 1",3176,Fiorentina,3173,Cagliari,0,1,1.5042857142857142,6.37,1,0,1
3163,2576328,"Hellas Verona - Udinese, 0 - 1",3194,Hellas Verona,3163,Udinese,0,1,6.078571428571428,1.54,1,1,0
3315,2576326,"Internazionale - Sassuolo, 1 - 2",3161,Internazionale,3315,Sassuolo,1,2,1.1614285714285713,16.175714285714285,1,0,1
3158,2576316,"Cagliari - Roma, 0 - 1",3173,Cagliari,3158,Roma,0,1,8.097142857142858,1.4142857142857141,1,1,0
3204,2576310,"SPAL - Benevento, 2 - 0",3204,SPAL,3219,Benevento,2,0,1.5071428571428571,6.57,1,0,1
0,2576318,"Napoli - Torino, 2 - 2",3187,Napoli,3185,Torino,2,2,1.2442857142857142,12.108571428571429,1,0,1
3161,2576315,"Udinese - Internazionale, 0 - 4",3163,Udinese,3161,Internazionale,0,4,5.92,1.5857142857142859,1,1,0
3159,2576311,"Juventus - Bologna, 3 - 1",3159,Juventus,3166,Bologna,3,1,1.1414285714285715,21.658571428571427,1,0,1
3157,2576314,"Milan - Hellas Verona, 4 - 1",3157,Milan,3194,Hellas Verona,4,1,1.1614285714285713,17.77857142857143,1,0,1
3162,2576303,"Torino - Lazio, 0 - 1",3185,Torino,3162,Lazio,0,1,4.87,1.687142857142857,1,1,0
3176,2576305,"Fiorentina - Napoli, 3 - 0",3176,Fiorentina,3187,Napoli,3,0,6.717142857142857,1.5085714285714287,1,1,0
3172,2576301,"Atalanta - Genoa, 3 - 1",3172,Atalanta,3193,Genoa,3,1,1.33,10.56,1,0,1
3157,2576304,"Bologna - Milan, 1 - 2",3166,Bologna,3157,Milan,1,2,5.187142857142857,1.7142857142857142,1,1,0
3158,2576300,"Roma - Chievo, 4 - 1",3158,Roma,3165,Chievo,4,1,1.3671428571428572,9.071428571428571,1,0,1
3193,2576293,"Genoa - Hellas Verona, 3 - 1",3193,Genoa,3194,Hellas Verona,3,1,1.4485714285714286,8.032857142857143,1,0,1
3161,2576294,"Chievo - Internazionale, 1 - 2",3165,Chievo,3161,Internazionale,1,2,7.032857142857143,1.5314285714285714,1,1,0
3162,2576297,"Lazio - Sampdoria, 4 - 0",3162,Lazio,3164,Sampdoria,4,0,1.32,9.208571428571428,1,0,1
3172,2576298,"Atalanta - Torino, 2 - 1",3172,Atalanta,3185,Torino,2,1,1.5471428571428572,6.301428571428572,1,0,1
3219,2576289,"Milan - Benevento, 0 - 1",3157,Milan,3219,Benevento,0,1,1.2142857142857142,13.27,1,0,1
3158,2576296,"SPAL - Roma, 0 - 3",3204,SPAL,3158,Roma,0,3,4.817142857142857,1.7871428571428571,1,1,0
3158,2576283,"Roma - Genoa, 2 - 1",3158,Roma,3193,Genoa,2,1,1.4357142857142857,7.654285714285714,1,0,1
0,2576284,"Crotone - Juventus, 1 - 1",3197,Crotone,3159,Juventus,1,1,10.788571428571428,1.3257142857142858,1,1,0
3187,2576288,"Napoli - Udinese, 4 - 2",3187,Napoli,3163,Udinese,4,2,1.17,18.02,1,0,1
3172,2576279,"Benevento - Atalanta, 0 - 3",3219,Benevento,3172,Atalanta,0,3,5.421428571428572,1.6171428571428572,1,1,0
3161,2576281,"Internazionale - Cagliari, 4 - 0",3161,Internazionale,3173,Cagliari,4,0,1.217142857142857,14.38,1,0,1
3159,2576275,"Juventus - Sampdoria, 3 - 0",3159,Juventus,3164,Sampdoria,3,0,1.2,15.271428571428572,1,0,1
0,2576269,"Sassuolo - Benevento, 2 - 2",3315,Sassuolo,3219,Benevento,2,2,1.657142857142857,5.3914285714285715,1,0,1
3166,2576271,"Bologna - Hellas Verona, 2 - 0",3166,Bologna,3194,Hellas Verona,2,0,1.612857142857143,5.992857142857143,1,0,1
0,2576276,"Fiorentina - SPAL, 0 - 0",3176,Fiorentina,3204,SPAL,0,0,1.4928571428571429,7.378571428571429,1,0,1
3193,2576270,"Genoa - Crotone, 1 - 0",3193,Genoa,3197,Crotone,1,0,1.8485714285714285,4.894285714285714,1,0,1
0,2576268,"Milan - Sassuolo, 1 - 1",3157,Milan,3315,Sassuolo,1,1,1.477142857142857,7.255714285714285,1,0,1
3187,2576262,"Napoli - Chievo, 2 - 1",3187,Napoli,3165,Chievo,2,1,1.1557142857142857,20.26142857142857,1,0,1
3159,2576266,"Benevento - Juventus, 2 - 4",3219,Benevento,3159,Juventus,2,4,16.382857142857144,1.227142857142857,1,1,0
3185,2576221,"Torino - Crotone, 4 - 1",3185,Torino,3197,Crotone,4,1,1.5257142857142858,6.84,1,0,1
3193,2576220,"Genoa - Cagliari, 2 - 1",3193,Genoa,3173,Cagliari,2,1,1.8214285714285714,4.958571428571428,1,0,1
3164,2576227,"Atalanta - Sampdoria, 1 - 2",3172,Atalanta,3164,Sampdoria,1,2,1.4357142857142857,7.632857142857143,1,0,1
3159,2576252,"Juventus - Milan, 3 - 1",3159,Juventus,3157,Milan,3,1,1.6171428571428572,6.101428571428571,1,0,1
0,2576253,"Sassuolo - Napoli, 1 - 1",3315,Sassuolo,3187,Napoli,1,1,9.175714285714285,1.34,1,1,0
