winner,wyId,label,team1_id,team1_name,team2_id,team2_name,team1_goals,team2_goals,avgHome,avgAway,UnderdogMatch,HomeUnderdog,AwayUnderdog
676,2565922,"Barcelona - Real Sociedad, 1 - 0",676,Barcelona,687,Real Sociedad,1,0,1.24,10.271428571428572,1,0,1
0,2565925,"Atl\u00e9tico Madrid - Eibar, 2 - 2",679,Atl\u00e9tico Madrid,701,Eibar,2,2,1.6071428571428572,5.74,1,0,1
674,2565924,"Valencia - Deportivo La Coru\u00f1a, 2 - 1",674,Valencia,677,Deportivo La Coru\u00f1a,2,1,1.3842857142857143,8.21,1,0,1
680,2565920,"Sevilla - Deportivo Alav\u00e9s, 1 - 0",680,Sevilla,696,Deportivo Alav\u00e9s,1,0,1.44,6.974285714285714,1,0,1
695,2565917,"Levante - Barcelona, 5 - 4",695,Levante,676,Barcelona,5,4,9.512857142857143,1.3057142857142858,1,1,0
691,2565910,"Espanyol - M\u00e1laga, 4 - 1",691,Espanyol,683,M\u00e1laga,4,1,1.64,5.868571428571428,1,0,1
675,2565912,"Real Madrid - Celta de Vigo, 6 - 0",675,Real Madrid,692,Celta de Vigo,6,0,1.352857142857143,8.151428571428571,1,0,1
701,2565915,"Eibar - Las Palmas, 1 - 0",701,Eibar,714,Las Palmas,1,0,1.4142857142857141,8.165714285714285,1,0,1
687,2565916,"Real Sociedad - Legan\u00e9s, 3 - 2",687,Real Sociedad,712,Legan\u00e9s,3,2,1.4414285714285713,7.7057142857142855,1,0,1
676,2565884,"Barcelona - Villarreal, 5 - 1",676,Barcelona,682,Villarreal,5,1,1.292857142857143,9.88,1,0,1
691,2565899,"Atl\u00e9tico Madrid - Espanyol, 0 - 2",679,Atl\u00e9tico Madrid,691,Espanyol,0,2,1.397142857142857,9.507142857142858,1,0,1
0,2565902,"Celta de Vigo - Deportivo La Coru\u00f1a, 1 - 1",692,Celta de Vigo,677,Deportivo La Coru\u00f1a,1,1,1.6142857142857143,5.34,1,0,1
684,2565893,"Real Betis - M\u00e1laga, 2 - 1",684,Real Betis,683,M\u00e1laga,2,1,1.407142857142857,8.044285714285714,1,0,1
676,2565889,"Deportivo La Coru\u00f1a - Barcelona, 2 - 4",677,Deportivo La Coru\u00f1a,676,Barcelona,2,4,10.401428571428571,1.2771428571428571,1,1,0
0,2565890,"Valencia - Eibar, 0 - 0",674,Valencia,701,Eibar,0,0,1.5042857142857142,6.852857142857143,1,0,1
682,2565888,"Villarreal - Celta de Vigo, 4 - 1",682,Villarreal,692,Celta de Vigo,4,1,1.7285714285714286,4.921428571428572,1,0,1
675,2565891,"Real Madrid - Legan\u00e9s, 2 - 1",675,Real Madrid,712,Legan\u00e9s,2,1,1.3071428571428572,9.847142857142858,1,0,1
0,2565897,"Espanyol - Las Palmas, 1 - 1",691,Espanyol,714,Las Palmas,1,1,1.3914285714285715,8.901428571428571,1,0,1
695,2565879,"Athletic Club - Levante, 1 - 3",678,Athletic Club,695,Levante,1,3,1.6757142857142857,5.51,1,0,1
0,2565886,"Atl\u00e9tico Madrid - Real Betis, 0 - 0",679,Atl\u00e9tico Madrid,684,Real Betis,0,0,1.6142857142857143,5.872857142857143,1,0,1
683,2565883,"M\u00e1laga - Real Sociedad, 2 - 0",683,M\u00e1laga,687,Real Sociedad,2,0,5.064285714285714,1.74,1,1,0
684,2565877,"Real Betis - Las Palmas, 1 - 0",684,Real Betis,714,Las Palmas,1,0,1.3642857142857143,7.707142857142857,1,0,1
0,2565876,"Real Madrid - Athletic Club, 1 - 1",675,Real Madrid,678,Athletic Club,1,1,1.23,11.75,1,0,1
698,2565875,"Valencia - Getafe, 1 - 2",674,Valencia,698,Getafe,1,2,1.487142857142857,7.398571428571429,1,0,1
682,2565872,"Villarreal - Legan\u00e9s, 2 - 1",682,Villarreal,712,Legan\u00e9s,2,1,1.5942857142857143,6.261428571428572,1,0,1
0,2565874,"Celta de Vigo - Barcelona, 2 - 2",692,Celta de Vigo,676,Barcelona,2,2,4.7214285714285715,1.6742857142857142,1,1,0
675,2565867,"M\u00e1laga - Real Madrid, 1 - 2",683,M\u00e1laga,675,Real Madrid,1,2,10.322857142857142,1.2871428571428571,1,1,0
679,2565860,"Atl\u00e9tico Madrid - Levante, 3 - 0",679,Atl\u00e9tico Madrid,695,Levante,3,0,1.2314285714285713,15.5,1,0,1
696,2565865,"Eibar - Deportivo Alav\u00e9s, 0 - 1",701,Eibar,696,Deportivo Alav\u00e9s,0,1,1.8285714285714287,4.845714285714285,1,0,1
677,2565863,"Athletic Club - Deportivo La Coru\u00f1a, 2 - 3",678,Athletic Club,677,Deportivo La Coru\u00f1a,2,3,1.667142857142857,5.511428571428572,1,0,1
676,2565858,"Barcelona - Valencia, 2 - 1",676,Barcelona,674,Valencia,2,1,1.3014285714285714,9.52142857142857,1,0,1
674,2565851,"Valencia - Espanyol, 1 - 0",674,Valencia,691,Espanyol,1,0,1.49,7.067142857142857,1,0,1
0,2565852,"Real Madrid - Atl\u00e9tico Madrid, 1 - 1",675,Real Madrid,679,Atl\u00e9tico Madrid,1,1,1.7342857142857142,4.837142857142857,1,0,1
676,2565856,"Barcelona - Legan\u00e9s, 3 - 1",676,Barcelona,712,Legan\u00e9s,3,1,1.1257142857142857,24.437142857142856,1,0,1
679,2565839,"Atl\u00e9tico Madrid - Deportivo La Coru\u00f1a, 1 - 0",679,Atl\u00e9tico Madrid,677,Deportivo La Coru\u00f1a,1,0,1.2314285714285713,13.617142857142857,1,0,1
675,2565847,"Las Palmas - Real Madrid, 0 - 3",714,Las Palmas,675,Real Madrid,0,3,9.272857142857143,1.2771428571428571,1,1,0
0,2565843,"Girona - Levante, 1 - 1",756,Girona,695,Levante,1,1,1.6142857142857143,5.831428571428571,1,0,1
675,2565836,"Real Madrid - Girona, 6 - 3",675,Real Madrid,756,Girona,6,3,1.187142857142857,13.64,1,0,1
0,2565834,"Celta de Vigo - M\u00e1laga, 0 - 0",692,Celta de Vigo,683,M\u00e1laga,0,0,1.4742857142857142,7.05,1,0,1
676,2565830,"Barcelona - Athletic Club, 2 - 0",676,Barcelona,678,Athletic Club,2,0,1.1485714285714286,20.68285714285714,1,0,1
698,2565828,"Real Sociedad - Getafe, 1 - 2",687,Real Sociedad,698,Getafe,1,2,1.7242857142857142,5.015714285714286,1,0,1
674,2565835,"Valencia - Deportivo Alav\u00e9s, 3 - 1",674,Valencia,696,Deportivo Alav\u00e9s,3,1,1.4414285714285713,7.425714285714286,1,0,1
679,2565824,"Atl\u00e9tico Madrid - Celta de Vigo, 3 - 0",679,Atl\u00e9tico Madrid,692,Celta de Vigo,3,0,1.4085714285714286,8.152857142857142,1,0,1
676,2565820,"M\u00e1laga - Barcelona, 0 - 2",683,M\u00e1laga,676,Barcelona,0,2,12.702857142857143,1.252857142857143,1,1,0
695,2565825,"Getafe - Levante, 0 - 1",698,Getafe,695,Levante,0,1,1.7214285714285713,5.5,1,0,1
675,2565818,"Eibar - Real Madrid, 1 - 2",701,Eibar,675,Real Madrid,1,2,5.961428571428572,1.52,1,1,0
756,2565827,"Girona - Deportivo La Coru\u00f1a, 2 - 0",756,Girona,677,Deportivo La Coru\u00f1a,2,0,1.5971428571428572,5.732857142857143,1,0,1
692,2565813,"Celta de Vigo - Las Palmas, 2 - 1",692,Celta de Vigo,714,Las Palmas,2,1,1.437142857142857,7.214285714285714,1,0,1
674,2565811,"Valencia - Real Betis, 2 - 0",674,Valencia,684,Real Betis,2,0,1.46,6.357142857142857,1,0,1
687,2565815,"Real Sociedad - Deportivo Alav\u00e9s, 2 - 1",687,Real Sociedad,696,Deportivo Alav\u00e9s,2,1,1.6828571428571428,5.148571428571429,1,0,1
676,2565817,"Barcelona - Atl\u00e9tico Madrid, 1 - 0",676,Barcelona,679,Atl\u00e9tico Madrid,1,0,1.7242857142857142,4.881428571428572,1,0,1
675,2565812,"Real Madrid - Getafe, 3 - 1",675,Real Madrid,698,Getafe,3,1,1.217142857142857,12.628571428571428,1,0,1
680,2565814,"Sevilla - Athletic Club, 2 - 0",680,Sevilla,678,Athletic Club,2,0,1.7328571428571429,4.96,1,0,1
